Site Id,Facility Type,Loc Id,Effective Date,Region,ADO,State Id,State Name,County,County State,City,Name,Ownership,Use,Owner,Owner Address,"Owner City, State, Zip",Owner Phone,Manager,Manager Address,"Manager City, State, Zip",Manager Phone,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,ARP Method,Elevation,Elevation Method,Magnetic Variation,Magnetic Variation Year,Traffic Pattern Altitude,Sectional,Distance From CBD,Direction From CBD,Land Area,ARTCC Id,ARTCC Computer ID,ARTCC Name,Responsible ARTCC Id,Responsible ARTCC Computer Id,Responsible ARTCC Name,Tie In FSS,Tie In FSS Id,Tie In FSS Name,FSS Phone Number,FSS Toll Free Number,Alternate FSS Id,Alternate FSS Name,Alternate FSS Toll Free Number,NOTAM Facility Id,NOTAM Service,Activation Date,Airport Status Code,Certification Type Date,Federal Agreements,Airspace Determination,Customs Airport Of Entry,Customs Landing Rights,Military Joint Use,Military Landing Rights,Inspection Method,Inspection Group,Last Inspection Date,Last Owner Information Date,Fuel Types,Airframe Repair,Power Plant Repair,Bottled Oxygen Type,Bulk Oxygen Type,Lighting Schedule,Beacon Schedule,ATCT,UNICOM,CTAF,Segmented Circle,Beacon Color,Non Commercial Landing Fee,Medical Use,Single Engine Aircraft,Multi Engine Aircraft,Jet Engine Aircraft,Helicopters,Gliders Operational,Military Operational,Ultralights,Commercial Operations,Commuter Operations,Air Taxi Operations,GA Local Operations,GA Itin Operations,Military Operations,Operations Date,Airport Position Source,Airport Position Source Date,Airport Elevation Source,Airport Elevation Source Date,Fuel Available,Transient Storage,Other Services,Wind Indicator,Icao Id,NPIAS Hub,NPIAS Role
50031.*A,AIRPORT,80A,2021-02-25,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,AMERICAN CREEK,AMERICAN CREEK,PU,PU,"DNR-DIV. OF MINING, LAND, WATER",3700 AIRPORT WAY,"FAIRBANKS, AK 99709",907-451-2740,,,,,065-06-14.3300N,234374.3350N,151-10-38.0400W,0544238.0400W,E,513,E,26E,1985,,FAIRBANKS,00,N,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,FAI,FAIRBANKS,907-474-0788,1-866-248-6516,,,,FAI,Y,1958-08-01,O,,,NOT ANALYZED,N,N,N,N,2,S,2020-07-31,2011-01-20,,NONE,NONE,NONE,NONE,,,N,,122.900,N,,N,,1,,,,,,,,,50,50,150,,2016-12-31,FAA-EST,2015-10-29,FAA OE/AAA,2015-10-29,,,,N,,,
50032.*A,AIRPORT,AKP,2021-02-25,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,ANAKTUVUK PASS,ANAKTUVUK PASS,PU,PU,NORTH SLOPE BOROUGH,BOX 69,"BARROW, AK 99723",907-852-2611,IAN STROUD,BOX 69,"BARROW, AK 99723",(907) 852-0489,068-08-01.0000N,245281.0000N,151-44-36.0000W,0546276.0000W,E,2106.3,S,16E,2020,,POINT BARROW,00,SE,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,FAI,FAIRBANKS,907-474-0788,1-866-248-6516,,,,AKP,Y,1963-08-01,O,,NGY,NO OBJECTION,N,N,N,Y,C,S,2020-06-04,1992-11-17,,NONE,NONE,NONE,NONE,SEE RMK,SEE RMK,N,122.800,122.800,Y,CG,N,,0,0,0,0,0,0,0,,,3200,,400,,2019-12-31,3RD PARTY SURVEY,2012-06-20,3RD PARTY SURVEY,2012-06-20,,TIE,,N,PAKP,N/A,Local
50038.*A,AIRPORT,ANI,2021-02-25,AAL,NONE,AK,ALASKA,BETHEL,AK,ANIAK,ANIAK,PU,PU,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519-6900",907-269-0749,RICHARD CILETTI,"PO BOX 73, ANIAK AIRPORT","ANIAK, AK 99577",907-675-4345,061-34-53.0600N,221693.0580N,159-32-43.0800W,0574363.0770W,E,97,S,12E,2020,,MC GRATH,00,S,1722,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,ENA,KENAI,907-283-7211,1-866-864-1737,,,,ANI,Y,1947-08-01,O,,NRGPY,NO OBJECTION,,,,,S,C,2017-06-20,,100LL A,MINOR,MINOR,,,SEE RMK,SS-SR,N,,122.100,Y,CG,N,,17,1,,,,,,,,1750,300,500,50,2016-12-31,3RD PARTY SURVEY,2015-09-21,3RD PARTY SURVEY,2015-09-21,,TIE,CARGO,Y-L,PANI,Non-Hub,
50039.1*A,AIRPORT,ANV,2021-02-25,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,ANVIK,ANVIK,PU,PU,ALASKA DOT&PF NORTHERN REGION,2301 PEGER ROAD,"FAIRBANKS, AK 99709",907-451-2200,ERIK WEINGARTH,BOX 135,"ST MARY'S, AK 99658",907-438-2416,062-38-50.4000N,225530.4000N,160-11-24.2000W,0576684.2000W,E,297.3,S,15E,2010,,MC GRATH,01,SE,245,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,,ENA,KENAI,907-283-7211,1-866-864-1737,,,,ANV,Y,1963-06-01,O,,N,NO OBJECTION,,,,Y,C,S,2020-07-27,,,,,,,SEE RMK,SS-SR,N,122.700,122.700,Y,CG,N,,0,0,0,0,0,0,0,,,1000,,,,2019-12-31,3RD PARTY SURVEY,2012-06-08,3RD PARTY SURVEY,2012-06-08,,,CARGO,Y-L,PANV,N/A,Basic
50039.8*A,AIRPORT,ARC,2021-02-25,AAL,NONE,AK,ALASKA,UPPER YUKON,AK,ARCTIC VILLAGE,ARCTIC VILLAGE,PU,PU,VENETIE TRIBAL GOVN,BOX 81080,"VENETIE, AK 97781",907-849-8165,JONATHAN JOHNS,P.O. BOX 69,"ARCTIC VILLAGE, AK 99722",907-587-5523,068-06-52.8100N,245212.8100N,145-34-45.9000W,0524085.8950W,E,2092,S,26E,2005,,POINT BARROW,01,SW,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,,FAI,FAIRBANKS,907-474-0788,1-866-248-6516,,,,ARC,N,,O,,NGY,NO OBJECTION,,,,,C,S,2020-06-06,,,,,,,SEE RMK,SEE RMK,N,,122.900,Y,CG,Y,,0,0,0,0,0,0,0,,,1500,,150,,2019-12-31,NACO,2003-05-15,NACO,2003-05-15,,,,Y-L,PARC,N/A,Basic
50040.5*A,AIRPORT,AKA,2021-02-25,AAL,NONE,AK,ALASKA,ALEUTIANS WEST,AK,ATKA,ATKA,PU,PU,ALASKA DOT&PF SOUTHCOAST REGION,PO BOX 112506,"JUNEAU, AK 99811-2506",(907) 465-1779,DALE RUCKMAN,PO BOX 920525,"UNALASKA, AK 99692-0525",907-581-1786,052-13-14.1000N,187994.1000N,174-12-22.3000W,0627142.3000W,E,55.2,S,08E,2005,,W ALEUTIAN ISLS,02,N,340,ZAN,ZAN,ANCHORAGE,ZAP,ZAP,ANCHORAGE OCEANIC,,CDB,COLD BAY,907-532-2466,1-800-478-7250,ENA,KENAI,1-866-864-1737,AKA,Y,1983-02-01,O,,NGY,,,,,Y,S,C,2019-08-26,1983-02-01,,,,,,SS-SR,SS-SR,N,,122.900,Y,CG,N,,0,0,0,0,0,0,0,312,,0,,,,2018-12-31,3RD PARTY SURVEY,2015-05-17,3RD PARTY SURVEY,2015-05-17,,,,Y-L,PAAK,N/A,Basic
50044.*A,AIRPORT,4A2,2021-02-25,AAL,NONE,AK,ALASKA,BETHEL,AK,ATMAUTLUAK,ATMAUTLUAK,PU,PU,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519-6900",907-269-0760,JOSEPH LARAUX,PO BOX 505,"BETHEL, AK 99559",(907) 543-2498,060-52-04.4000N,219124.4000N,162-16-27.4000W,0584187.4000W,E,19.4,S,18E,1985,,BETHEL,00,NE,99,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,ENA,KENAI,907-283-7211,1-866-864-1737,,,,ENA,Y,1977-07-01,O,,N,NO OBJECTION,N,N,,Y,C,C,2017-06-29,1980-09-25,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,122.900,N,CG,N,,0,0,0,0,0,0,0,,,500,,,,2016-12-31,3RD PARTY SURVEY,2013-07-02,3RD PARTY SURVEY,2013-07-02,,,,Y,,N/A,Local
50044.5*A,AIRPORT,ATK,2021-02-25,AAL,NONE,AK,ALASKA,NORTH SLOPE,AK,ATQASUK,ATQASUK EDWARD BURNELL SR MEML,PU,PU,NORTH SLOPE BOROUGH,BOX 69,"BARROW, AK 99723",907-852-2611,JACK FRANTZ,BOX 69,"BARROW, AK 99723",(907) 852-0489,070-28-01.6000N,253681.6000N,157-26-08.4000W,0566768.4000W,E,101.3,S,13E,2020,,CAPE LISBURNE,01,S,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,BRW,BARROW,907-852-2511,LC852-2511,FAI,FAIRBANKS,1-866-248-6516,ATK,Y,1971-07-01,O,,NGY,NOT ANALYZED,N,N,N,Y,F,C,2017-07-03,,,NONE,NONE,NONE,NONE,SEE RMK,SEE RMK,N,,122.900,Y,CG,N,,0,0,0,0,0,0,0,,,500,,30,,2016-12-31,3RD PARTY SURVEY,2010-08-13,3RD PARTY SURVEY,2010-08-13,,,,Y-L,PATQ,N/A,Basic
50055.5*A,AIRPORT,BTI,2021-02-25,AAL,NONE,AK,ALASKA,UPPER YUKON,AK,BARTER ISLAND,BARTER ISLAND,PU,PU,NORTH SLOPE BOROUGH,PO BOX 69,"BARROW, AK 99723",907-852-2611,JACK FRANTZ,PO BOX 69,"BARROW, AK 99723",(907) 852-0489,070-06-47.2000N,252407.2000N,143-39-13.0000W,0517153.0000W,E,55.1,S,18E,2020,,POINT BARROW,01,NNE,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,SCC,DEADHORSE,907-659-2505,LC659-2401,FAI,FAIRBANKS,1-866-248-6516,BTI,Y,,O,,N,NOT ANALYZED,N,N,N,N,S,S,2020-06-04,1991-01-10,,NONE,NONE,NONE,NONE,SEE RMK,SEE RMK,N,,122.800,Y,CG,N,,0,0,0,0,0,0,0,,,2500,,800,50,2019-12-31,3RD PARTY SURVEY,2017-07-12,3RD PARTY SURVEY,2017-07-12,,,CARGO,Y-L,PABA,N/A,Local
50057.2*A,AIRPORT,Z48,2021-02-25,AAL,NONE,AK,ALASKA,KUSKOKWIM,AK,BEAR CREEK,BEAR CREEK 3,PU,PU,PUBLIC DOMAIN,,,,,,,,063-34-17.7900N,228857.7930N,156-08-38.5800W,0562118.5820W,E,740,E,23E,1985,,MC GRATH,03,W,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,ENA,KENAI,907-283-7211,1-866-864-1737,,,,ENA,Y,1951-10-01,O,,,NOT ANALYZED,N,N,N,N,S,C,2019-06-11,,,NONE,NONE,NONE,NONE,,,N,,122.900,N,,N,,,,,,,,,,,200,,100,,2018-12-31,,,,,,,CARGO,N,,,
50058.*A,AIRPORT,WBQ,2021-02-25,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,BEAVER,BEAVER,PU,PU,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD.,"FAIRBANKS, AK 99709",(907) 451-5280,SCOTT RANDBY,2301 PEGER RD,"FAIRBANKS, AK 99709",(907) 451-5280,066-21-44.0000N,238904.0000N,147-24-23.4000W,0530663.4000W,E,364.7,S,24E,2005,,FAIRBANKS,00,N,446,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,FAI,FAIRBANKS,907-474-0788,1-866-248-6516,,,,FAI,Y,1949-11-01,O,,NGS,NO OBJECTION,N,N,N,,S,S,2020-06-06,,,NONE,NONE,NONE,NONE,SEE RMK,SEE RMK,N,,122.900,Y,CG,N,,0,0,0,0,0,0,0,,,500,0,0,,2016-12-31,3RD PARTY SURVEY,2010-05-24,3RD PARTY SURVEY,2010-05-24,,,CARGO,Y,PAWB,N/A,Basic
50061.1*A,AIRPORT,BET,2021-02-25,AAL,NONE,AK,ALASKA,BETHEL,AK,BETHEL,BETHEL,PU,PU,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519-6900",907-269-0749,JOSEPH LARAUX,BOX 505,"BETHEL, AK 99559",907-543-2498,060-46-42.8000N,218802.8000N,161-50-13.8000W,0582613.8000W,E,128.8,S,11E,2020,,MC GRATH,03,SW,1056,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,ENA,KENAI,907-283-7211,1-866-864-1737,,,,BET,Y,1958-11-01,O,I B S 04/2005,N,NO OBJECTION,,,,,F,F,2020-03-19,,100 100LL A A1,MINOR,MINOR,,,SEE RMK,SS-SR,Y,,118.700,Y,CG,,,96,7,,7,,2,,5195,,65857,7140,42438,1370,2019-02-28,3RD PARTY SURVEY,2011-06-30,3RD PARTY SURVEY,2011-06-30,,"HGR,TIE",CARGO,Y-L,PABE,Non-Hub,
50062.*A,AIRPORT,BTT,2021-02-25,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,BETTLES,BETTLES,PU,PU,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",(907) 451-5280,SCOTT RANDBY,2301 PEGER RD,"FAIRBANKS, AK 99709",(907) 451-5280,066-54-50.2000N,240890.2000N,151-31-44.6000W,0545504.6000W,E,647.3,S,16E,2020,,FAIRBANKS,00,N,1195,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,FAI,FAIRBANKS,907-474-0788,1-866-248-6516,,,,BTT,Y,1949-01-01,O,,N,NO OBJECTION,,,,,C,S,2020-06-03,,100LL A1+ B,,,,,SEE RMK,SEE RMK,N,,122.900,Y,CG,,,10,0,0,0,0,0,0,,,1000,1000,2000,150,2019-12-31,3RD PARTY SURVEY,2014-08-25,3RD PARTY SURVEY,2014-08-25,,TIE,CARGO,Y-L,PABT,N/A,Basic
50068.6*A,AIRPORT,BGQ,2021-02-25,AAL,NONE,AK,ALASKA,MATANUSKA-SUSITNA,AK,BIG LAKE,BIG LAKE,PU,PU,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519-6900",907-269-0770,KYLER HYLTON,"289 INNER SPRING LOOP, DOT&PF CENTRAL REGION","PALMER, AK 99645",907-745-2159,061-32-04.8600N,221524.8590N,149-48-45.1700W,0539325.1740W,E,162.4,S,19E,2010,,ANCHORAGE,01,SE,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,,ENA,KENAI,907-283-7211,1-866-864-1737,,,,ENA,Y,1951-05-01,O,,N,NO OBJECTION,,,,,F,C,2020-09-15,,,MAJOR,MAJOR,,,SEE RMK,SS-SR,N,,122.800,Y,CG,,,66,2,0,2,0,0,0,,,,1500,8000,,2019-12-31,3RD PARTY SURVEY,2018-08-23,3RD PARTY SURVEY,2018-08-23,,TIE,,Y-L,PAGQ,N/A,Local
50068.78*A,AIRPORT,Z91,2021-02-25,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,BIRCH CREEK,BIRCH CREEK,PU,PU,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",(907) 451-5280,SCOTT RANDBY,2301 PEGER RD,"FAIRBANKS, AK 99709",(907) 451-5280,066-16-28.1000N,238588.1000N,145-49-05.5000W,0524945.5000W,E,439.8,S,30E,1985,,FAIRBANKS,01,NNW,155,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,,FAI,FAIRBANKS,907-474-0788,1-866-248-6516,,,,FAI,N,1980-09-01,O,,N,NOT ANALYZED,,,,,C,C,2017-06-13,,,,,,,SEE RMK,SS-SR,N,,122.900,Y,CG,,,0,0,0,0,0,0,0,,,500,0,0,,2016-12-31,3RD PARTY SURVEY,2010-05-30,3RD PARTY SURVEY,2010-05-30,,TIE,CARGO,Y-L,,N/A,Basic
